func@0x140004320
spu_Render
EnterCrit
RtlFlsGetValue
func@0x14000bde0
func@0x18043cc40
mbsnbicoll_l
func@0x14092f440
UserSessionSwitchLeaveCrit
KiSelectReadyThread
func@0x1804d8290
ExpApplyPriorityBoost
KiSearchForNewThreadOnProcessor
WaitForSynchronizationObjectFromGpu
func@0x140980d10
_security_check_cookie
memset
COREDEVICEACCESS::COREDEVICEACCESS
RtlpxLookupFunctionTable
KeRemoveQueueEx
func@0x14101e044
func@0x140017fa0
func@0x140809160
memset
func@0x180251b90
func@0x18043e900
RtlpLfhBlockBitmapAllocate
func@0x1408e7cf0
ObfDereferenceObjectWithTag
KeWaitForMultipleObjects
KiSystemServiceExit
ZwWaitForSingleObject
func@0x181817ed0
KeQueryPerformanceCounter
RtlpFreeHeap
RtlpHpStackLoggingEnabled
WppAutoLogTrace
RtlQueryPerformanceCounter
UserCallWinProcCheckWow
bsearch
KeReleaseSemaphore
func@0x18028f72c
CcSaveNVContext2
func@0x1801430b0
ExEnterCriticalRegionAndAcquireResourceExclusive
PsGetCurrentProcessWin32Process
func@0x140753220
func@0x18013ecc0
vlc_fourcc_GetChromaDescription
GreUpdateSpriteVisRgn
func@0x140007180
xxxWindowEvent
DXGCONTEXT::SubmitCommand
func@0x140728f40
func@0x14000ba50
CDXGISwapChain::PresentImplCore
wcsicmp
func@0x18176de30
KzRaiseIrql
ExIsResourceAcquiredSharedLite
ExpInterlockedPopEntrySListResume
func@0x140bc7ec0
KiTryLocalThreadSchedule
KiUserCallbackDispatcher
KeIsAttachedProcess
strnicoll_l
PsGetCurrentProcessSessionId
func@0x14000baf0
SubmitPresentHistoryToken
COREACCESS::~COREACCESS
FltpPerformPreCallbacksWorker
VidSchiProfilePerformanceTick
func@0x140d93460
NtGdiDdDDISignalSynchronizationObjectFromGpu2
KeEnterCriticalRegion
func@0x1804f0f20
func@0x14001f990
UserCritTelemetry::UpdateUserCritInfo
DXGADAPTER::AcquireCoreResourceShared
func@0x1802551d0
func@0x1400abd58
memcpy
ExReleasePushLockEx
memcpy
RtlFreeHeap
DXGDEVICEBYHANDLE::DXGDEVICEBYHANDLE
GetProp
func@0x180467e00
RtlpVirtualUnwind
fnHkINLPMSG
KeReleaseMutant
RtlSetLastWin32Error
func@0x1407d4940
LdrpFindLoadedDllByName
RtlDosApplyFileIsolationRedirection_Ustr
FlsGetValue
func@0x14092b0a0
func@0x180142bd0
func@0x1400d1260
WdLogNewEntry5_WdEvent
KiAcquireKobjectLockSafe
func@0x1814593e0
func@0x1407387b0
RtlpValidateContextFlags
guard_dispatch_icall
func@0x181c81020
GdiHandleEntryDirectory::ReleaseEntryLock
KiCancelTimer
func@0x140976df0
ObpGetWaitObject
KiServiceInternal
memcpy
RtlSleepConditionVariableCS
func@0x140982dd8
PrepareIndependentFlipToken
func@0x14054c890
func@0x14072aca0
func@0x140019330
func@0x14097d760
func@0x140962ae4
NtUserPeekMessage
VidSchiInterlockedRemoveHeadListIfExist
KiTryUnwaitThread
MiInsertPageInFreeOrZeroedList
func@0x140164eb0
xxxRealInternalGetMessage
MiCompletePrivateZeroFault
NtGdiDdDDIWaitForSynchronizationObjectFromGpu
func@0x140004930
ExAcquireCacheAwarePushLockSharedEx
func@0x1400c8510
memcpy
_security_check_cookie
KeSetEvent
HmgPentryFromPobj
DxgkUnlock2
func@0x181c80e60
memset
RGNOBJAPI::RGNOBJAPI
ThreadUnlock1
GdiHandleManager::DecodeIndex
func@0x180140460
func@0x1801b2020
func@0x1400d9cb0
RtlHashUnicodeString
NtUserQueryWindow
MiDeleteVa
StringCchCopyA
CalcVisRgnWorker
func@0x14060b9f0
DXGETWPROFILER_BASE::PushProfilerEntry
MiAddWorkingSetEntries
ATL::AtlInternalQueryInterface
RGNOBJ::UpdateUserRgn
func@0x14009a3ac
func@0x1409f9ea0
VidSchiPacketBlockedOnWaitCondition
ObpIncrementHandleCountEx
func@0x18028f133
xxxCallHook2
KiIdleLoop
func@0x1409700d0
func@0x18176e190
func@0x140c1ec90
CmpComputeComponentHashes
func@0x1402ff4c0
DXGALLOCATIONREFERENCE::~DXGALLOCATIONREFERENCE
func@0x181c7e600
RtlAcquireSRWLockExclusive
func@0x180107470
GetDomainLockRef
RGNOBJ::bMerge
func@0x14053ac00
SeAccessCheckWithHintWithAdminlessChecks
func@0x1817633c0
func@0x1408bb620
DXGTHREAD::GetCurrent
vlc_mutex_lock
ExfReleaseRundownProtection
func@0x181c80e40
ExpInterlockedPushEntrySList
func@0x181764800
ObCloseHandleTableEntry
func@0x140ac7460
func@0x1409fa050
EtwTraceEndAppMessageProcessing
func@0x1800a6857
func@0x18013cac0
RtlpSubSegmentInitialize
RtlHashUnicodeString
func@0x140bbb390
func@0x18025ca30
ExAcquireResourceSharedLite
xxxGetInputEvent
func@0x140bbce80
func@0x1800c6650
func@0x140ba53f0
strlen
func@0x1801ddea0
func@0x18024fcc0
RtlFindActivationContextSectionString
RFONTOBJ::bInit
aligned_offset_malloc
aligned_free
func@0x140c1e9d0
xxxHkCallHook
EtwTraceMessageCheckDelay
func@0x180349900
memcpy
func@0x14053d5e0
func@0x18050ea70
SymCryptSha1AppendBlocks
DxgkLock2
func@0x1400d9be0
MiDeletePteRun
VidSchWaitForSingleSyncObject
VidSchiUnwaitNodeHwQueueProgress
func@0x140668780
func@0x1801a72e0
MmGetSessionIdEx
func@0x1407bae90
func@0x140751460
func@0x1408d7540
[libfaad_plugin.dll]
VidSchiInsertCommandToSoftwareQueue
LongCompareString
VIDMM_GLOBAL::WaitForFences
PsGetThreadWin32Thread
func@0x1800c7050
KiSystemServiceCopyEnd
_security_check_cookie
qsort
func@0x14015c5c0
DXGHANDLETABLELOCKSHARED::DXGHANDLETABLELOCKSHARED
SfnDWORD
xxxInternalDoSyncPaint
FindQMsg
NtDelayExecution
ExIsResourceAcquiredExclusiveLite
func@0x14088a730
RtlDeactivateActivationContextUnsafeFast
CContext::TID3D11DeviceContext_OMSetRenderTargets_<2>
func@0x1400ae890
CProgram::MatchScalarTree
GetMBNoDefault
GetDCEx
CDecodeContext::SubmitBuffers
DXGCONTEXTBYHANDLE::DXGCONTEXTBYHANDLE
KiProcessDeferredReadyList
DxgkEscape
MiInsertPageInList
ObDereferenceObject
VIDMM_GLOBAL::LockInternal
ObpCreateHandle
HmgLock
func@0x14096cba0
NtDxgkSubmitPresentToHwQueue
func@0x1400bd090
KiReleaseThreadStateLock
HmgDecrementExclusiveReferenceCountEx
getptd_noexit
HmgShareLockCheck
DxgkSubmitCommandToHwQueueInternal
RotateCursorShapeWorker
func@0x14101d124
PeekMessageW
func@0x1407c75f0
EtwpReserveTraceBuffer
guard_dispatch_icall_nop
KiSignalThread
WaitForSynchronizationObjectFromCpu
StoreQMessage
func@0x18015ff60
func@0x180262cc0
HMLockObject
func@0x1409621f4
SubmitPresentHistoryTokenPreparation
HalpInterruptSendIpi
GreCombineRgn
func@0x1408bc300
RtlInitUnicodeStringEx
func@0x180154e40
MiAllocateWsle
func@0x140090df0
func@0x180252850
func@0x18043cd70
ResetOrg
VIDMM_GLOBAL::Unlock
func@0x1400c7cd0
DxgkSignalSynchronizationObjectFromGpu2
func@0x140003710
NtAssociateWaitCompletionPacket
func@0x14022b004
DXGAUTOPUSHLOCK::Release
ExpInterlockedPopEntrySListEnd
CDecodeBuffer::GetBuffer
NtGdiDdDDIUnlock2
func@0x14097abac
RtlpFindUnicodeStringInSection
func@0x1407f54e0
COleStaticMutexSem::Request
func@0x18176e5c0
func@0x14097cd80
MiGetPageChain
func@0x1400a39f0
KeResetEvent
ExReleaseRundownProtectionCacheAwareEx
func@0x1400fb210
FltpPerformPostCallbacksWorker
KeGetCurrentIrql
ExAcquireResourceExclusiveLite
DEC_SHARE_REF_CNT
func@0x1409f5df0
VidSchiSignalSyncObjectsFromCpu
KeUserModeCallback
MiUnlinkPageFromList
func@0x14001f160
func@0x180518110
func@0x14068cec0
ZwSetInformationThread
func@0x1400078d0
func@0x1409947e0
RtlInitAnsiStringEx
CLayeredObject<class NDXGI::CResource>::QueryInterface
CUseCountedObjectRootEx<class NOutermost::CDevice>::_Delegate
RtlpFindNextActivationContextSection
LdrGetDllHandleEx
func@0x1404d8f00
func@0x1400727a0
func@0x1409750d0
CmpPerformSingleKcbCacheLookup
func@0x1400bdad8
VidSchiInterlockedInsertTailList
func@0x14097b388
func@0x140943360
DXGPROCESS::GetAllocationSafe
RtlpSanitizeContextFlags
mbsnbicoll
NtWaitForSingleObject
func@0x140c1e150
IoRemoveIoCompletion
EtwTraceWakeInputIdle
func@0x14097acd0
func@0x1814532e0
func@0x140989f80
func@0x14054ed70
RtlpLocateActivationContextSection
func@0x18176af50
func@0x1408d7340
NtSetEvent
func@0x1802b5b90
func@0x14089bac0
func@0x140880300
func@0x1800f8e20
func@0x140988934
func@0x1801999c0
func@0x181761e30
func@0x1409867a4
VidSchSignalSyncObjectsFromGpu
ExAllocatePoolWithQuotaTag
VidSchiAllocateHwQueuePacket
VIDMM_RECYCLE_HEAP_MGR::ZeroIfNeeded
func@0x181764d3f
func@0x1800f5af0
func@0x18014a260
func@0x140d1654c
func@0x14098848c
FastZeroMemory
func@0x180150850
func@0x181769cf0
func@0x140488240
